,rent,rooms,living_space,closest_charger,chargers_in_vicinity
263,1790.0,2.0,36.0,787,11.0
264,1695.0,1.5,40.0,495,11.0
265,3975.0,3.5,90.0,403,4.0
266,3975.0,3.5,90.0,403,4.0
268,3930.0,2.0,41.0,825,9.0
269,5550.0,4.5,132.0,598,9.0
270,3950.0,4.5,120.0,5656,0.0
271,6350.0,5.0,110.0,1178,0.0
272,2230.0,2.5,56.0,872,5.0
274,5160.0,3.5,90.0,495,6.0
275,2420.0,3.0,97.0,1653,0.0
276,2540.0,1.5,52.0,565,2.0
277,2950.0,4.5,81.0,807,2.0
279,4995.0,4.5,125.0,5656,0.0
280,3700.0,3.5,97.0,278,13.0
281,2534.0,2.0,46.0,972,3.0
283,2430.0,3.0,77.0,751,2.0
284,2290.0,1.5,59.0,443,11.0
285,7350.0,5.0,170.0,1036,0.0
286,3190.0,3.0,65.0,717,11.0
287,2150.0,2.0,43.0,1490,0.0
288,15000.0,4.0,240.0,377,19.0
289,1965.0,3.0,60.0,2571,0.0
291,3100.0,2.5,58.0,695,10.0
292,2513.0,2.0,66.0,308,3.0
293,2174.0,3.0,63.0,213,39.0
294,2669.0,3.5,68.0,1253,0.0
295,2190.0,3.0,68.0,260,8.0
296,2790.0,4.5,122.0,1374,0.0
297,2290.0,2.5,46.0,589,17.0
299,1900.0,2.5,45.0,1010,0.0
300,2540.0,3.0,64.0,708,1.0
301,3190.0,3.5,76.0,766,11.0
303,4950.0,4.5,180.0,704,13.0
304,1850.0,3.0,65.0,451,2.0
308,3190.0,2.0,122.0,254,32.0
309,3910.0,3.5,103.0,538,2.0
310,2051.0,3.0,68.0,629,3.0
312,960.0,1.0,21.0,1995,0.0
313,2690.0,2.5,85.0,654,2.0
314,2890.0,3.0,73.0,627,2.0
315,2462.0,2.0,45.0,353,8.0
316,4822.0,2.0,57.0,825,9.0
318,3090.0,1.5,32.0,875,3.0
319,4500.0,2.0,57.0,875,3.0
320,3650.0,3.0,59.0,1065,0.0
321,5250.0,4.5,101.0,424,7.0
324,3570.0,2.5,54.0,353,8.0
325,4290.0,3.5,104.0,1460,0.0
326,3550.0,3.5,72.0,723,2.0
327,3180.0,3.5,88.0,162,1.0
328,6250.0,5.0,107.0,1178,0.0
329,6100.0,5.0,98.0,1178,0.0
330,3680.0,2.5,71.0,95,2.0
331,5550.0,3.5,146.0,202,77.0
332,2085.0,3.5,64.0,1012,0.0
333,3500.0,4.5,100.0,1547,0.0
334,3659.0,3.5,75.0,979,1.0
335,1340.0,1.0,27.0,613,11.0
